year,month,KADAA_ID,KADAA_AR,KADAA_EN,topics,sentiment,sentiment_label
2020,2,11000,عكّار,Akkar,"['Therapy', '#jobs']",0.11149282364460936,Positive
2020,2,21000,الهرمل,El Hermel,"['#الكورونا', 'تعليق الطائرات القادمة', '#وزير_الصحه', '#فيروس_كورونا #نحنا_لها', 'COVID-19', 'مهدد بنقص الادوية']",0.01845862470862471,Positive
2020,2,22000,بعلبك,Baalbek,"['Medical Aid', 'healthcare services']",0.04599364678531345,Positive
2020,2,31000,بيروت,Beirut,"['#كورونا #لبنان', 'refugees', 'وزير الصحة', '#coronavirus #كورونا', '#Pregnancy #Birth', '#Cosmetics #treatment', '#Pharmaceutical #products', '#products #Cosmetics', '#كورونا #كورونا_لبنان']",0.0615618344360958,Positive
2020,2,41000,زحلة,Zahle,"['#كورونا #لبنان_ينتفض #لا_داعي_للهلع', 'first corona case']",0.05340553977272727,Positive
2020,2,42000,البقاع الغربي,West Bekaa,"['فايروس كورونا', 'كمامات', 'الصين', 'اصابات', '#كورونا_الصيني #كورونا']",-0.027682670864489046,Negative
2020,2,43000,راشيّا,Rachaya,"['#لا_داعي_للهلع', '#كورونا #هلا_فبراير', '#coronawirus #كورونا #كورونا_لبنان']",0.35694444444444445,Positive
2020,2,51000,بعبدا,Baabda,"['#لا_داعي_للهلع', '#كورونا #كورونا_لبنان']",0.06315147695340674,Positive
2020,2,52000,المتن,El Meten,"['#لبنان #كورونا', 'medical marijuana', '#كورونا #لبنان', '#المصارف #الدولار', '#كورونا #COVIDー19', '#الفساد #الدولار', '#COVIDー19 #فيروس_كورونا']",0.06552510245417612,Positive
2020,2,53000,الشّوف,Ech Chouf,"['فيروس #كورونا', 'الكمامات', '#لبنان_ينتفض']",0.08250006114412894,Positive
2020,2,54000,عاليه,Aley,"['#كورونا #لبنان', 'الكورونا اجانا']",0.04310389511282367,Positive
2020,2,55000,كسروان,Kesserouane,"['#كورونا #لبنان', 'فيروس #كورونا', 'أول اصابة مؤكدة', 'وزير الصحة', 'اصابة مؤكدة بفيروس كورونا', 'حالة وحدة']",0.02907027867965368,Positive
2020,2,56000,جبيل,Jbeil,"['فيروس كورونا', '#كورونا #لبنان', 'وزير الصحة', 'الحكومة اللبنانية', '#كورونا المستجد', 'إصابة بفيروس كورونا', 'تسجيل حالة', 'وزارة الصحة', 'إصابة جديدة']",0.04421435489423771,Positive
2020,2,61000,النبطيّة,El Nabatieh,"['سجل حالات اصابات', 'corona']",0.03215488215488215,Positive
2020,2,62000,بنت جبيل,Bent Jbeil,"['school & healthcare', 'Syrian refugees', '#كورونا_لبنان #Covid_19']",0.1295181686999869,Positive
2020,2,63000,مرجعيون,Marjaayoun,"['الحكومة اللبنانية', 'فيروس #كورونا', 'سلامة اللبنانيين', 'الوقاية', 'وزارة الصحة', 'الكادر الطبي']",0.09599911271326712,Positive
2020,2,64000,حاصبيّا,Hasbaya,"['Syrian refugees', '#كورونا_لبنان', '#كورونا_لبنان #الجراد']",0.051866590616590616,Positive
2020,2,71000,طرابلس,Tripoli,"['#كورونا_لبنان', 'المدارس']",0.048415808005651755,Positive
2020,2,72000,الكورة,El Koura,"['فايروس كورونا', '#كورونا', 'تطبيق نبض', 'وزير الصحة', 'قليل المناعة', 'بوتيرة مقلقة', 'منع السفر', 'تفشي فايروس']",0.083266856746816,Positive
2020,2,73000,زغرتا,Zgharta,"['#كورونا #لبنان', 'governmental hospitals']",0.055400749142632266,Positive
2020,2,74000,البترون,El Batroun,"['Jobs', '#Lebanon']",0.06610804548768816,Positive
2020,2,76000,بشرّي,Bcharre,"['حالات كورونا', '#كورونا corona', 'Isolation', 'isolating patients,tracing & quarantining']",0.019095719095719093,Positive
2020,2,77000,المنية-الضنّية,El Minieh-Dennieh,"['Health Services', '#Job', '#Lebanon']",0.16743659420289853,Positive
