section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Sunglass Hut,3.9,(10),Sunglasses store,Closed,"Dora Highway, El Bauchrieh",Closing soon: 11:00 PM,01 874 892,Source for trendy brand-name sunglasses
Tapis Mahmoud Kabalan,4.0,(109),Carpet store,Closed,,Opens at 10:30 AM,01 652 230,British luxury apparel & accessories
Cesar Group - Italian Kitchens,4.4,(30),Kitchen furniture store,Closed today,,Opens at 10:00 AM,01 667 667,"Designer jeans, apparel & accessories"
Homes For Less,4.3,(40),Furniture accessories,Closed,Beirut,Opens at 10:00 AM,01 845 149,High-end watch designer & retailer
Home Centre,3.9,(587),Furniture store,Closed,Beirut,Opens at 10:00 AM,01 748 031,Retailer for hip apparel & accessories
Michael Kors,5.0,(1),Fashion accessories store,Closed,Beirut,Opens at 10:00 AM,01 212 888,Classic designer apparel & bags
Lacoste,4.1,(10),Clothing store,Closed,,Opens at 9:00 AM,04 402 014,Designer polos with crocodile logos
Sunglass Hut,4.6,(46),Sunglasses store,Closed today,Chouaifet El Aamroussieh,Closing soon: 11:00 PM,05 804 083,Source for trendy brand-name sunglasses
Sports 4 Ever,4.1,(18),Sportswear store,Closed,,Opens at 9:00 AM,09 957 164,
Bike Yard,4.8,(59),Motorcycle shop,Closed today,,Opens at 12:00 PM,03 162 207,Contemporary footwear for adults & kids
Foot Locker,4.0,(41),Sportswear store,Closed today,Beirut,Open until 12:00 AM,01 757 089,Brand-name athletic shoes & apparel
Penna Karout Stationery,4.7,(3),Pen store,Closed,Hadath,Opens at 10:00 AM,01 544 283,Luxury Swiss watches & accessories
Adkom Apple Authorised Reseller,4.3,(194),Electronics store,Closed today,Beirut,Opens at 10:00 AM,01 242 666,Supermarket for groceries & more
Michael Kors,5.0,(1),Fashion accessories store,Closed,"Dbaye Highway Door EU3834, Store 0003",Opens at 10:00 AM,04 416 000,Classic designer apparel & bags
Diane Von Furstenberg,5.0,(8),Women's clothing store,Closed,Beirut,Opens at 12:00 PM,04 717 716,Women's high-end fashions & accessories
Forever 21,4.4,(5),Clothing store,Closed,,Open until 12:00 AM,01 283 240,Trendy clothing & accessories retailer
American Eagle Outfitters,4.7,(3),Clothing store,Closed,Chouaifet El Qoubbeh,Opens at 10:00 AM,01 757 261,"On-trend casualwear, shoes & accessories"
The Merchant Of Venice,4.4,(47),Liquor store,Closed today,,Opens at 10:00 AM,01 334 515,Source for trendy brand-name sunglasses
Furla,4.0,(1),Fashion accessories store,Closed,Dbayeh Matn District Jounieh Highway Matn,Opens at 10:00 AM,04 403 703,Athletic wear & shoes
Casio Service Center - Sundial Ltd.,5.0,(1),Electronics store,Closed today,Zalqa,Opens at 9:00 AM,04 711 894,High-end designer lingerie & loungewear
"A&S Chronora - Rolex Boutique, Old Souk Street",4.1,(34),Watch store,Temporarily closed,Fouad Chehab,Closing soon: 11:00 PM,09 910 980,Source for trendy brand-name sunglasses
Hermès,4.0,(109),Leather goods store,Closed,Beirut,Opens at 8:00 AM,01 628 000,"Designer clothing, bags & accessories"
Converse,4.4,(30),Clothing store,01 667 667,,Opens at 10:00 AM,Closed today,"Mainstay for sneakers, apparel & more"
Saga collection,3.2,(17),Shopping mall,Closed today,,Opens at 10:00 AM,09 220 379,High-end watch designer & retailer
Mamas & Papas,3.8,(4),Children's clothing store,01 748 031,,Opens at 10:00 AM,Closed,Retailer of maternity & baby products
Sandy Nour,5.0,(6),Clothing store,Closed today,Beirut,Opens at 10:00 AM,70 885 955,Classic designer apparel & bags
COCCINELLE,4.7,(11),Furniture store,Closed,Tyre,Opens at 9:00 AM,07 345 167,Designer polos with crocodile logos
ishtari.com,3.6,(102),Electronics store,Closed today,,Closing soon: 11:00 PM,06 444 174,Source for trendy brand-name sunglasses
Emporio Armani Beirut,3.7,(3),Boutique,Closed,Beirut,Opens at 9:00 AM,01 982 482,
Burberry,3.3,(3),Boutique,03 162 207,,Opens at 12:00 PM,Closed today,British luxury apparel & accessories
Etro Boutique,4.0,(41),Boutique,Closed today,Beirut,Open until 12:00 AM,01 991 111 ext. 590,Brand-name athletic shoes & apparel
VANS Store Nahariya,2.3,(4),Clothing store,Closed,Nahariyya,Opens at 10:00 AM,01 544 283,Classic brand for skateboarding shoes
Brands For Less,4.1,(88),Outlet mall,Closed,Mansourieh,Opens at 10:00 AM,03 728 203,Supermarket for groceries & more
شركة حمدان للتجارة,5.0,(1),Electrical supply store,Closed today,,Opens at 10:00 AM,07 742 945,Classic designer apparel & bags
Accessorize,3.0,(1),Gift shop,04 717 716,,Opens at 12:00 PM,Closed,Women's high-end fashions & accessories
NEWSGATE,4.6,(7),News service,Closed,Beirut,Open until 12:00 AM,01 999 819,Trendy clothing & accessories retailer
Stop & Shop,5.0,(2),Grocery store,Temporarily closed,Haifa,Opens at 10:00 AM,01 757 261,"On-trend casualwear, shoes & accessories"
Carter's,4.0,(2),Baby clothing store,Closed,Regba,Opens at 10:00 AM,+972 4-982-0478,Standby for bright & basic kids' clothes
VANS Store Karmiel,3.7,(3),Clothing store,Closed,Karmiel,Opens at 10:00 AM,+972 4-660-5571,Classic brand for skateboarding shoes
Crocs,5.0,(1),Clothing store,Closed today,Acre,Opens at 9:00 AM,+972 4-657-9193,High-end designer lingerie & loungewear
Skechers,4.7,(3),Shoe store,09 910 980,,Closing soon: 11:00 PM,Temporarily closed,House-brand athletic & casual shoes
Foot Locker,3.6,(101),Shoe store,Closed,Karmiel,Closing soon: 11:00 PM,+972 4-841-9226,"Designer clothing, bags & accessories"
Crocs,4.4,(7),Shoe store,Closed,Yarka,Opens at 10:30 AM,01 667 667,"Mainstay for sneakers, apparel & more"
Foot Locker,3.2,(17),Sportswear store,Closed today,The Spot Choueifat,Closing soon: 11:00 PM,01 757 252,Brand-name athletic shoes & apparel
Stop & Shop,3.8,(4),Shopping mall,Closed,,Opens at 1:00 PM,+962 7 8200 5014,Supermarket for groceries & more
Billabong,5.0,(1),Surf shop,Closed today,Haifa,Closing soon: 11:00 PM,+972 4-840-0386,Classic designer apparel & bags
Billabong outlet,4.3,(3),Sportswear store,Closed,,Closing soon: 11:00 PM,+972 4-840-0386,Designer polos with crocodile logos
Diesel,2.7,(11),Clothing store,Closed today,Kiryat Bialik,Closing soon: 11:00 PM,+972 4-876-3084,"Edgy, fashion-forward clothing"
Diesel,2.5,(2),Men's clothing store,Closed,Haifa,Opens at 9:00 AM,+972 4-822-4242,"Edgy, fashion-forward clothing"
Accessorize,4.0,(1),Fashion accessories store,Closed,Kiryat Bialik,Opens at 10:00 AM,+972 4-689-2661,British luxury apparel & accessories
Billabong,3.9,(8),Clothing store,Closed today,Kiryat Bialik,Open until 12:00 AM,+972 4-689-2365,Stylish apparel for surfers & beachgoers
Zara,3.5,(469),Clothing store,Closed,Kiryat Bialik,Opens at 10:00 AM,01 544 283,On-trend apparel & accessories
Carrefour - Citymall,4.1,(474),Grocery store,Closed,,Open until 12:00 AM,01 905 100,Supermarket for groceries & more
Carrefour - City Center,4.3,"(3,632)",Hypermarket,Closed today,,Open until 12:00 AM,01 296 300,Classic designer apparel & bags
Accessorize,4.2,(6),Fashion accessories store,04 717 716,Haifa,Opens at 12:00 PM,Closed,Women's high-end fashions & accessories
BillaBong,3.5,(4),Clothing store,Closed,Haifa,Opens at 9:30 AM,+972 4-857-6474,Stylish apparel for surfers & beachgoers
BillaBong,4.2,(14),Clothing store,Closed,Haifa,Opens at 9:30 AM,+972 4-832-5585,"On-trend casualwear, shoes & accessories"
Foot locker outlet חוצות המפרץ,3.8,(25),Clothing store,Closed,Haifa,Opens at 9:30 AM,+972 4-853-9947,Standby for bright & basic kids' clothes
Carter's,4.7,(7),Baby clothing store,Closed,Haifa,Opens at 10:00 AM,+972 4-812-0077,Standby for bright & basic kids' clothes
VANS Store Haifa,4.3,(63),Clothing store,Closed today,Haifa,Closing soon: 11:00 PM,+972 4-657-9193,Classic brand for skateboarding shoes
Carrefour Town Center - Zouk Mosbeh,4.2,(697),Hypermarket,Closed,,Opens at 8:00 AM,09 213 626,House-brand athletic & casual shoes
Diesel,4.0,(8),Clothing store,Closed,Haifa,Closing soon: 11:00 PM,+972 77-211-2400,"Edgy, fashion-forward clothing"
Dior,4.0,(4),Clothing store,01 667 667,Haifa,Opens at 10:30 AM,Closed,Designer fashion for men & women
Gant,3.9,(24),Clothing store,Closed today,Nazareth,Closing soon: 11:30 PM,+972 4-602-4044,Classic clothing & sportswear retailer
Gant,1.0,(1),Clothing store,+962 7 8200 5014,Nazareth,Opens at 1:00 PM,Closed,Classic clothing & sportswear retailer
Single Trek mountain bike center,4.9,(18),Bicycle store,Closed,,Opens at 9:00 AM,+972 4-830-7340,Classic designer apparel & bags
BFL Group,5.0,(1),Corporate office,Closed,Street,Opens at 9:00 AM,01 842 885,Designer polos with crocodile logos
Carrefour Market,4.0,(207),Supermarket,Closed,,Opens at 8:00 AM,05 557 741,"Edgy, fashion-forward clothing"
SWAROVSKI,4.3,(85),Fashion accessories store,Closed today,Nazareth,Opens at 9:00 AM,+972 4-646-6265,High-end crystal jewelry & accessories
Max - irbid City Center,4.4,(32),Clothing store,Closed,,Opens at 10:00 AM,+962 7 9821 1497,British luxury apparel & accessories
The North Face,4.1,(268),Outdoor sports store,Closed,Gan Shmuel,Opens at 10:00 AM,+972 4-826-2048,Mainstay for outerwear & outdoor gear
Salsa,3.5,(469),Clothing store,Closed,Irbid,Opens at 10:00 AM,+962 7 8581 0554,On-trend apparel & accessories
Aldo,4.5,(4),Shoe store,Closed,Or Akiva,Opens at 9:00 AM,+972 4-610-1159,Trendy footwear & accessories retailer
The North Face Outlet Store Netanya,4.3,(163),Outdoor sports store,Closed,Netanya,Opens at 10:00 AM,+972 3-915-5173,Mainstay for outerwear & outdoor gear
Gucci,3.2,(98),Women's clothing store,Closed,Tel Aviv-Yafo,Opens at 10:00 AM,+972 3-671-8530,Luxury Italian-designed fashions
Gant,4.1,(54),Clothing store,Closed,Kefar Sava,Opens at 9:30 AM,+972 9-744-5537,Classic clothing & sportswear retailer
Creative Space Beirut,4.7,(17),Fashion design school,Closed today,Beirut,Opens at 9:30 AM,81 326 773,"On-trend casualwear, shoes & accessories"
A|X Netanya,3.8,(25),Boutique,Closed,Netanya,Opens at 9:30 AM,+972 3-681-5179,Standby for bright & basic kids' clothes
Topshop,3.7,(331),Women's clothing store,Closed,Amsterdam,Opens at 12:00 PM,+31 20 344 9440,U.K.-born retailer for apparel & shoes
The Shire Gift Shop,4.5,(4),Gift shop,,"Bir Al Kandeel,",,70 762 872,
leen shop,4.3,(3),Clothing store,Closed,,Opens at 10:00 AM,71 430 407,
Alt Alt chocolate,4.3,(4),Chocolate shop,Closed,,Opens at 8:00 AM,71 207 527,
LAVENDER sweets,4.0,(5),Candy store,Closed,,Opens at 6:00 AM,81 394 064,
"Jandoya-online,(Saida) Chocolate Shop",5.0,(1),Chocolate shop,Closed,,Opens at 10:30 AM,71 012 563,
leen shop,4.1,(9),Clothing store,Closed,,Opens at 10:00 AM,71 430 407,
Converse,4.5,(2),Clothing store,01 757 148,,Opens at 10:00 AM,Closed,"Mainstay for sneakers, apparel & more"
Tools Shop - Elzein Sour,4.0,(1),Tool store,Closed,,Opens at 9:00 AM,03 297 115,
Obene Chocolate and souvenir,4.1,(17),Chocolate shop,Closed,universities street,Opens at 10:00 AM,70 991 140,
Shop and Save,4.3,(7),Home goods store,70 826 291,,Open until 12:00 AM,,
salam shop,5.0,(3),Clothing store,07 727 824,,Opens at 9:00 AM,Closed,
Loret Flower Shop,4.4,(9),Florist,03 820 714,,Opens at 8:00 AM,Closed,
Blue Rays Dvd's Shop,3.7,(3),DVD store,Closed,,Opens at 9:00 AM,03 077 791,
Goya shop,4.0,(1),Clothing store,Closed,,Opens at 9:00 AM,07 720 255,
Mickey Mouse,4.2,(5),Gift shop,Closed,,Opens at 10:00 AM,7017927,
Too nice,,,Kitchen supply store,,Ayteet al_dowar Tyr,Closing soon: 11:00 PM,70 895 470,
VERVE Shop,4.7,(3),Clothing store,Closed,,Opens at 10:00 AM,07 721 959,
Meat Chop,5.0,(7),Butcher shop,,Saida - Jezzine Rd,,03 731 777,
City Saad,5.0,(2),Clothing store,Closed today,,Opens at 10:00 AM,71 430 407,
GivGads,4.6,(13),Baby store,Closed,بناية عزام ١٥، الوسطاني-خلف المحكمة الشرعية - مقابل محطة القوام,Opens at 10:00 AM,03 560 491,
Happy Land,4.5,(4),Gift shop,70 762 872,,,,
Eldorado Shopping Center - Tyr,3.9,(95),Clothing store,Closed,,Opens at 9:00 AM,71 430 407,
My Home Gallery,5.0,(3),Furniture store,Closed,,Opens at 10:00 AM,03 014 147,
ISTIKBAL LEBANON,4.6,(23),Furniture store,Closed,,Opens at 10:00 AM,07 345 222,
mix mondo,4.0,(2),Children's clothing store,Closed,,Opens at 9:00 AM,79 150 151,
Tools Shop,4.1,(9),Tool store,71 430 407,,Opens at 10:00 AM,Closed,
Oxxyzen,4.5,(2),Clothing store,Closed,Al Jawad Restaurant,Opens at 9:00 AM,07 346 233,"Mainstay for sneakers, apparel & more"
Centerpoint Shopping Center,4.0,(258),Clothing store,Closed,,Opens at 10:00 AM,03 297 115,
Vapes LB,5.0,(2),Vaporizer store,Closed,"Al Akkad، Rawad Cell, Hay Al Barrad, next to Cocktail",Closing soon: 11:00 PM,76 914 200,
ZARA,3.9,(12),Fashion accessories store,Closed today,Eastern Boulevard Jezzine Crossing,Open until 12:00 AM,01 755 196,On-trend apparel & accessories
Al-Ain Cafe,3.7,(37),Coffee shop,Closed,,Open until 2:00 AM,70 026 240,
X Music,4.4,(9),Music store,Closed,Saida - Jezzine Rd,Opens at 9:00 AM,03 698 023,
Dunkin' Donuts Saida Station,3.7,(3),Coffee shop,Closed,Beirut - Saida Hwy,Closing soon: 11:00 PM,01 511 090,
NHN MODA women wear shop,5.0,(3),Clothing store,Closed,,Opens at 10:00 AM,70 136 961,
riva shop,4.2,(5),Clothing store,Closed today,Tyre - Qana Rd,Opens at 10:00 AM,70 070 986,
بن هدى معتوق,,,Coffee shop,70 895 470,,Closing soon: 11:00 PM,,
H&M,4.1,(28),Clothing store,Closed,The Spot,Opens at 10:00 AM,01 757 145,Retailer for hip apparel & accessories
Meziana Chocolate,5.0,(1),Chocolate shop,,,,07 728 101,
Aya Shop,5.0,(2),Clothing store,71 430 407,,Opens at 10:00 AM,Closed today,
L'elani Cake Shop,5.0,(3),Cake shop,Closed,"Eastern Boulevard Facing the Spot Saida mall, near Clean Zone",Opens at 10:00 AM,03 941 530,
Zay L Qamar - زي القمر - Women Clothing Shop,4.5,(4),Women's clothing store,Closed,Zefta,Opens at 10:00 AM,70 820 331,
COCCINELLE,4.7,(11),Furniture store,Closed,Nabih Berri,Opens at 9:00 AM,07 345 167,
Mamas & Papas,3.8,(4),Children's clothing store,03 014 147,,Opens at 10:00 AM,Closed,Retailer of maternity & baby products
China House,5.0,(1),Chocolate shop,Closed,,Opens at 10:00 AM,03 210 260,
Marie France,4.0,(2),Lingerie store,Closed,,Opens at 9:00 AM,79 150 151,
La Rein Brands,4.1,(9),Children's clothing store,71 430 407,,Opens at 10:00 AM,Closed,
Galaxy toys,4.5,(2),Toy store,07 346 233,,Opens at 9:00 AM,Closed,"Mainstay for sneakers, apparel & more"
Claire's,5.0,(2),Fashion accessories store,Closed,"Saida Mall, Eastern Boulevard Jezzine Crossing 714",Opens at 10:00 AM,01 757 146,Mainstay for youth-oriented jewelry
VERO MODA,5.0,(2),Women's clothing store,Closed,,Opens at 10:00 AM,76 914 200,
Kado Lorena,3.9,(11),Gift shop,Closed,صيدا - ساحة القدس - بجانب عصير أبو يزن,Opens at 10:00 AM,70 551 021,On-trend apparel & accessories
Adidas,3.7,(37),Clothing store,70 026 240,,Open until 2:00 AM,Closed,Athletic wear & shoes
Ameen Hijazi Chocolate And Nuts,5.0,(1),Chocolate shop,Closed,Saida East Boulevard Beside Malak Tawouk Saida,Opens at 7:00 AM,07 732 811,
Sweet Things Sweet Shop,3.7,(3),Chocolate shop,Closed,"cheers and chamoun stores, Bolivard marjeyoun, center Chahine, beside",Closing soon: 11:00 PM,71 388 027,
Turkish Cotton,5.0,(3),Lingerie store,Closed,Natasha Saad,Opens at 9:00 AM,03 082 951,
Quariyat Al Farah,4.2,(5),Toy store,Closed today,,Closing soon: 11:30 PM,70 070 986,
الأرزوني للأدوات المنزلية و الكهربائية,4.3,(13),Furniture store,,,Closing soon: 11:00 PM,03 216 386,
DVD Mall,4.5,(41),DVD store,Closed,Main street,Closing soon: 11:00 PM,07 752 340,Retailer for hip apparel & accessories
Mazen World,3.5,(4),Toy store,,,,07 946 249,
Assi Multi-Zone,4.7,(13),Computer store,Closed,Abra main road,Opens at 10:00 AM,07 727 757,
Barby's Saida,4.0,(3),Children's clothing store,Closed,"East Boulevard, saida",Opens at 10:00 AM,07 733 623,
GS Saida,4.1,(19),Clothing store,Closed,Charke Highway,Opens at 10:00 AM,07 755 428,
Starbucks,4.3,(516),Coffee shop,Closed,Zaitunay Bay,Open until 12:00 AM,01 757 154,Iconic Seattle-based coffeehouse chain
Cadeau hassoun,5.0,(1),Toy store,Closed,Schools street,Open until 12:00 AM,76 020 585,Retailer of maternity & baby products
Sami Kotob Est - Kotob City,4.4,(354),Electronics store,Closed,East boulevard,Opens at 9:00 AM,07 736 988,
Queen's Sleep,3.8,(5),Mattress store,Closed today,,Opens at 9:00 AM,07 235 777,
Centrepoint,3.6,(10),Clothing store,Closed,"Darazi Centre, Saida",Closing soon: 11:00 PM,01 748 031,
Acelya - Zuhre,4.7,(12),Women's clothing store,Closed,,Opens at 9:00 AM,70 140 403,"Mainstay for sneakers, apparel & more"
Happy Home,4.0,(4),Electronics store,Closed,Main Road Ghazieh,Opens at 8:00 AM,07 223 239,Mainstay for youth-oriented jewelry
2007 pic,4.5,(20),Picture frame shop,03 622 895,,Opens at 8:30 AM,Closed,
Aleen Wear,5.0,(2),Women's clothing store,Closed,Elwastany-Mofti Jalal Eldine-Azzam Bldg.15 Saida,Opens at 9:30 AM,03 709 252,On-trend apparel & accessories
بوظة بشير,4.1,(48),Ice Cream,Closed,,Opens at 10:00 AM,70 026 240,Athletic wear & shoes
Dunkin' Saida,4.5,(215),Coffee shop,Closed,Hlalieh صيدا,Closing soon: 11:00 PM,07 754 285,
Swisse Chocolate Saida,5.0,(6),Chocolate shop,Closed,East boulevard,Opens at 9:00 AM,07 751 788,
Starbucks,4.4,(200),Coffee shop,Closed,Tyr Coast,Closing soon: 11:00 PM,01 757 071,Iconic Seattle-based coffeehouse chain
Cremino Pastry Tyre,4.4,(340),Pastries,Closed,,Opens at 8:00 AM,07 742 842,
4coffee,4.7,(172),Coffee store,Closed,היהלום,Opens at 8:30 AM,+972 4-681-7107,
حلويات الأنوار,4.8,(18),Pastries,71 644 903,,Closing soon: 11:00 PM,Closed,Retailer for hip apparel & accessories
Al Sayad - Hunting,5.0,(1),Gun shop,70 282 232,,Closing soon: 11:30 PM,,
Marie France LeMall Saida,3.5,(4),Lingerie store,Closed,,Opens at 9:00 AM,03 543 926,
Centro Kitchen,4.0,(3),Kitchen furniture store,Closed,"Nabatieh, habouch highway, daher plaza 4",Opens at 9:00 AM,76 816 913,
NAI Lingerie - Saida Store,4.7,(12),Lingerie store,Closed today,,Opens at 10:00 AM,07 754 624,
X Music,4.6,(5),Music store,Closed,,Opens at 12:00 AM,70 644 813,Iconic Seattle-based coffeehouse chain
Pinkberry,3.9,(23),Fro-Yo,Closed,Beirut - Saida Hwy,Opens at 10:00 AM,07 724 319,Retailer of maternity & baby products
Le Ciel Café,4.0,(65),Coffee shop,Closed,,Opens at 9:00 AM,71 070 755,
Dunkin Donuts,4.4,(130),Coffee shop,Closed today,Merhy Abou Merhy,Closing soon: 11:00 PM,07 727 356,
Citi Furniture,3.9,(9),Furniture store,Closed,,Closing soon: 11:00 PM,07 729 333,
Starbucks,4.1,(70),Coffee shop,Closed,,Opens at 10:00 AM,01 757 067,Iconic Seattle-based coffeehouse chain
ONESUB (ONE Freediving Center),4.8,(9),Dive shop,Closed,51,Opens at 8:00 AM,81 819 988,Mainstay for youth-oriented jewelry
Angel Tattoo,1.0,(2),Tattoo shop,Temporarily closed,Tyre - Qana Rd,Opens at 8:30 AM,70 959 077,
Mona me,4.6,(11),Women's clothing store,Closed,,Opens at 9:00 AM,07 755 099,On-trend apparel & accessories
Kassir Sweets حلويات القصير,4.3,(225),Pastries,Closed,,Opens at 6:00 AM,07 732 536,Athletic wear & shoes
H&M,4.7,(3),Clothing store,Closed,Boulivard El Sharki - Hay El Barrad,Opens at 10:00 AM,07 754 837,Retailer for hip apparel & accessories
Darwish Co.,5.0,(2),Kitchen furniture store,Closed today,,Opens at 9:00 AM,70 003 933,
Cocomiel kids wear,4.7,(11),Children's clothing store,Closed,,Opens at 9:00 AM,03 512 273,Iconic Seattle-based coffeehouse chain
Group Four,5.0,(2),Fireplace store,Closed today,,Opens at 8:00 AM,07 506 455,
Lunar Shop,4.7,(172),Clothing store,+972 4-681-7107,"WASTANI SAIDA،, El Awkaf",Opens at 8:30 AM,Closed,
Crumbs,4.2,(36),Dessert shop,Closed,,Open until 1:30 AM,07 753 513,Retailer for hip apparel & accessories
Pianos,4.0,(12),Music store,,"Al Ezz, Mohi Al Din Abou",Open until 12:00 AM,07 739 443,
Starbucks,4.3,(434),Coffee shop,Closed,Kikano Building,Opens at 8:00 AM,01 757 231,Iconic Seattle-based coffeehouse chain
C&F,4.6,(5),Cosmetics store,Closed,,Opens at 9:00 AM,07 754 589,
Dunkin Donuts,4.1,(74),Coffee shop,Temporarily closed,"Tyre , Western Sea، Nabih Berry Street",Opens at 10:00 AM,07 350 394,
Class,3.9,(18),Electronics store,Closed,"Aabbasiyyeh Street, Saida - Tyre Hwy",Opens at 10:00 AM,07 346 333,Iconic Seattle-based coffeehouse chain
Fiji Shop,3.9,(23),Electronics store,Closed,,Opens at 10:00 AM,+963 930 853 730,Retailer of maternity & baby products
Best Mobile,3.8,(85),Cell phone store,Closed,,Opens at 9:30 AM,+972 4-620-4197,
سنتر بوينت للملابس,4.0,(89),Clothing store,Closed,,Opens at 10:00 AM,05 956 436,
Baby Light,4.7,(39),Baby clothing store,Closed,"Chrayfeh, Main Road",Opens at 9:30 AM,07 531 888,
shops heyam,4.1,(70),Clothing store,Closed,,Opens at 10:00 AM,03 543 926,Iconic Seattle-based coffeehouse chain
Cannelle Chocolatier,5.0,(2),Chocolate shop,Closed,,Opens at 8:00 AM,70 749 304,Mainstay for youth-oriented jewelry
كافيه صح صح,3.8,(134),Coffee shop,Temporarily closed,,Opens at 8:30 AM,03 649 609,
Al Baba Sweets,4.2,(134),Pastries,Closed,,Opens at 9:00 AM,07 725 927,On-trend apparel & accessories
Laline,4.1,(10),Toiletries store,Closed,ביג מרכז מסחרי,Opens at 6:00 AM,+972 54-334-5801,Athletic wear & shoes
Fast Casual,4.1,(62),Fro-Yo,Closed,Zaitunay Bay,Open until 12:30 AM,01 757 153,Retailer for hip apparel & accessories
Baby Face,5.0,(3),Baby store,Closed,,Opens at 9:00 AM,+972 4-832-2122,
Traffico Coffee Shop,5.0,(1),Coffee shop,Closed,Near Bank Audi,Open until 12:00 AM,71 789 769,Iconic Seattle-based coffeehouse chain
לבמה - ציוד הגברה תאורה כלי נגינה,4.9,(192),Musical instrument store,Closed,אזור תעשיה הדרומי לשם,Opens at 9:00 AM,+972 4-602-3604,
Ziad Bookshop,4.4,(203),Book store,Closed today,,Opens at 8:30 AM,07 720 689,
فرحات للإطارات Farhat Tires,3.9,(19),Tire shop,Closed,,Open until 1:30 AM,03 261 064,Retailer for hip apparel & accessories
"MIXER JUICE (welovemixer) Crepe, Cocktail and Saj",4.6,(59),Juice,,"Saida hlaliye, jezzine main road مقابل محمصة صيدا",Open until 12:00 AM,76 973 253,
City Star Café,3.7,(54),Coffee shop,Closed,,Open until 12:30 AM,71 670 474,Iconic Seattle-based coffeehouse chain
My Pc,4.3,(8),Computer store,Closed,,Opens at 10:00 AM,07 723 457,
النجمة الشرقية,3.1,(16),Toy store,Closed,النادي الحسيني، النبطية الساحة العامة بجانب,Opens at 8:00 AM,78 916 775,
Phoenix Shop,5.0,(5),Print shop,Closed today,98,Opens at 10:00 AM,+972 52-700-9665,Iconic Seattle-based coffeehouse chain
KAROUT CENTER,4.3,(50),Kitchen supply store,Closed,Marjaayoun - Bint Jbeil Road,Opens at 8:00 AM,07 866 177,Retailer of maternity & baby products
Dazzler shop,5.0,(1),Fashion accessories store,Closed,"Tyre, Abou Dib Area, Skeiki Building, 1st Floor, Right, صور،",Opens at 9:00 AM,03 553 988,
Awada Mobile,4.1,(44),Cell phone store,Closed,Martyr Square Beside Baher bakery,Closing soon: 11:00 PM,71 355 911,
"פוטו שלומי , שלומי",3.0,(2),Photo shop,Closed,Nitsan St 10,Opens at 8:30 AM,+972 54-499-7530,
City Shop,4.1,(70),Car dealer,Closed,,Opens at 10:00 AM,70 169 125,Iconic Seattle-based coffeehouse chain
Tonino crepes and waffles,4.1,(30),Dessert shop,Closed,,Open until 1:45 AM,07 350 934,Mainstay for youth-oriented jewelry
RED CURVE,3.8,(134),Furniture accessories,Closed today,,Opens at 8:30 AM,07 766 939,
Stop & Shop,4.2,(134),Market,Closed,,Opens at 9:00 AM,79 137 678,Supermarket for groceries & more
Al Khatib Sweets,5.0,(1),Patisserie,Closed,,Opens at 7:00 AM,+972 54-334-5801,Athletic wear & shoes
باتيسري الشجرة,4.1,(62),Patisserie,Closed,,Opens at 8:00 AM,71 128 462,Retailer for hip apparel & accessories
Eldorado,3.8,(99),Department store,Closed,,Opens at 10:00 AM,07 721 957,
GS Shoes The Spot Chouaifet,3.5,(4),Clothing store,Closed,,Closing soon: 11:30 PM,05 815 026,Iconic Seattle-based coffeehouse chain
Stop & Shop,5.0,(2),Grocery store,Temporarily closed,Natanzon St 16,Opens at 9:00 AM,+972 4-602-3604,
The TV shop,3.0,(7),Store,Closed today,,Opens at 8:30 AM,01 555 198,
The Body Shop,5.0,(1),Cosmetics store,Closed,Spinneys Jnah,Opens at 10:00 AM,01 757 141,"Shower gels, creams, soaps & more"
Stop And Shop,4.2,(283),Supermarket,Closed,,Opens at 7:00 AM,09 217 241,Supermarket for groceries & more
Beads & Pieces By Rola Hachem,3.4,(5),Craft store,Closed,,Open until 12:30 AM,03 794 622,Iconic Seattle-based coffeehouse chain
VANS Store Nahariya,2.3,(4),Clothing store,Closed,HaNassi Ben Tsvi Ave 1,Opens at 10:00 AM,07 723 457,Classic brand for skateboarding shoes
Wallis,3.5,(2),Women's clothing store,Closed,"The Spot Chouaifet El Qoubbeh, Lebanon",Opens at 10:00 AM,01 757 250,Stylish casual clothing for women
Como Store,3.9,(106),Clothing store,Closed today,,Opens at 10:00 AM,01 879 871,Iconic Seattle-based coffeehouse chain
Brands for less - Kaslik,3.8,(363),Outlet store,Closed,Sea Side Rd,Opens at 10:00 AM,76 837 583,Retailer of maternity & baby products
The Body Shop,4.1,(12),Cosmetics store,Closed,City Centre,Open until 12:00 AM,01 757 091,"Shower gels, creams, soaps & more"
Louis Vuitton Beirut,4.5,(133),Leather goods store,Closed today,Allenby Street Fakhri Bey Beirut,Closing soon: 11:00 PM,01 966 810,Luxury brand for handbags & more
La2tahShop,3.9,(134),Outlet mall,Closed,Al Imam Moussa Al Sader Street,Opens at 10:00 AM,01 851 551,
BOSS Menswear Shop,4.1,(70),Men's clothing store,Closed,ABC Mall Old Road - Gardi Liban Bldg,Opens at 10:00 AM,76 797 972,Designer apparel & fragrance retailer
Gucci,4.4,(34),Women's clothing store,Closed,141 El Moutran,Opens at 10:00 AM,01 991 111,Luxury Italian-designed fashions
