section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
"Lebanese International University, Rayak Campus",4.0,(8),University,,Closed today,08 901 666,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Medicine - Tartus University,3.8,(8),University,,Closed,03 327 807,http://tartous-univ.edu.sy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu - Tourisim - Dekouane - University,5.0,(1),University,,Closed today,04 872 208,,,
Beirut Arab University - Faculty Of Medicine,3.8,(5),Medical school,,Closed today,01 300 110,https://www.bau.edu.lb/Faculty/Medicine,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Science and Technology, Zahlé Campus",3.8,(12),University,,Closed today,08 930 894,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic Studies Center - University,1.0,(2),University,,Closed today,03 959 543,,,
UL Faculty of Law-Dean Office,3.9,(8),Public university,,Closed,01 384 149,http://droit.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu - Media - Mar Elias - University,4.0,(2),University,,Closed today,01 687 229,,,
Antonine University,5.0,(1),University,Ablah-Rayak Main Rd,Closed today,08 902 020,http://www.ua.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Beirut Arab University, Campus Bekaa",3.5,(4),University,,Closed,08 543 051,http://bau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
CAMM Fashion Academy,5.0,(1),University,,Closed today,01 498 755,http://www.cammlebanon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Medical Sciences - Lebanese University,4.0,(2),Medical school,,Closed today,05 463 581,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=15,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Filière,5.0,(2),University,,Closed today,05 556 628,,,
Faculty Of Agriculture - Beit Meri - Lebanese University,3.0,(3),University,,,01 292 981,,,
Aul Dekwaneh University,4.0,(1),School,قضاء المتن Mount Lebanon Governorate,Closed today,01 689 306,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
C & E American University - Sabaa Al Khi,4.0,(20),University,,Closed today,01 360 027,,,
Arab Open University - Zahle Branch,3.0,(1),University,,,08 829 360,http://www.aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Modern University for Business and Science,4.2,(5),Private university,,Closed today,05 601 801,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
USJ - IGE,5.0,(1),University,Unnamed Road,Closed today,01 421 392,https://ige.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
LU - Faculty of Engineering III,4.5,(14),University,,Closed today,05 463 402,http://www.ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
lebanese university,4.0,(8),University,,Closed today,08 901 666,,,
College Of Mechanical And Electrical Engineering,4.1,(27),College,,Closed,+963 991 391 400,http://mec.albaath-univ.edu.sy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Deanship,5.0,(1),University,George Matta,Closed today,04 872 208,,,
Beirut Arab university - main office,4.0,(1),School,,Closed today,01 300 110,http://www.bau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of law political and administrative sciences,4.5,(2),Public university,,Closed today,01 384 133,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Medical university pharmacy,5.0,(1),University,,Closed today,05 480 886,,,
Rafik Hariri University,4.8,(16),University,,Closed today,05 603 090,http://www.rhu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Modern University for Business and Science (MUBS),3.3,(4),Private university,,Closed today,71 566 670,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - IUT,4.4,(5),University,,Closed today,08 902 020,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
International University of Beirut,5.0,(1),Educational institution,,Temporarily closed,01 706 881,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Phoenicia University,5.0,(1),Educational institution,,Temporarily closed,01 498 755,,,
University,4.0,(2),School,,Closed today,05 463 581,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Science and Technology, Bhamdoun Campus",5.0,(2),University,Bhamdoun,Closed today,05 260 300,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ABTS Lebanon (Arab Baptist Theological Seminary) كلية اللاهوت المعمدانية العربية,4.7,(7),Private university,Hay Blata Mansorieh Maten,,04 400 250,http://www.abtslebanon.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rafik Hariri University RHU,4.5,(27),Private university,,Closed today,05 603 090,http://www.rhu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University,4.0,(20),School,,Closed today,01 360 027,,,
جامعة طرطوس,4.0,(1),University,Tartus‎,,08 829 360,,,
Lebanese University - Faculty of Technology,4.2,(5),University,Dawoudieh,Closed today,05 210 050,,,
Lebanese University Faculty Of Art,4.5,(2),University,,Closed today,05 511 001,,,
AUST,4.8,(10),University,,Closed today,07 754 777,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
NDU Shouf Campus,5.0,(3),University,,Closed today,05 511 202,http://www.ndu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Arts and Humanities,4.3,(16),College,Homs‎,Closed,+963 991 391 400,http://www.ucl.ac.uk/ah,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Institute Of Fine Arts and Architecture - 1st Branch,5.0,(1),School,,Closed today,05 463 517,http://www.ul.edu.lb/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
